,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.1,0.0,0.001,0.95,0.49355,0.50645,0.3460030129240892,1.85385,74154,45846,25,668.75,15.467291000000001,"TitForTat,OmegaTFT"
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.1,0.0,0.001,0.99,0.3059,0.6941,0.8609226943085012,1.49135,59654,60346,29,476.68709677419355,20.757841999999997,"TitForTat,OmegaTFT"
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.1,0.0,0.005,0.95,0.6132,0.3868,0.3731788728527828,2.173125,86925,33075,25,648.2032258064517,14.791234000000001,"TitForTat,OmegaTFT"
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.1,0.0,0.005,0.99,0.3031,0.6969,1.0980197558352511,1.56705,62682,57318,25,554.6677419354838,17.968761000000004,"TitForTat,OmegaTFT"
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.15,0.0,0.001,0.95,0.663575,0.336425,1.6915803403730576,2.299125,91965,28035,26,475.9161290322581,20.547828999999997,"TitForTat,OmegaTFT"
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.15,0.0,0.001,0.99,0.3384,0.6616,0.7905716840585939,1.355525,54221,65779,31,419.43387096774194,19.324723999999993,"TitForTat,OmegaTFT"
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.15,0.0,0.005,0.95,0.7173,0.2827,0.32670357019778845,2.289925,91597,28403,25,676.4774193548387,21.826511999999997,"TitForTat,OmegaTFT"
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.15,0.0,0.005,0.99,0.461925,0.538075,1.2009323211070346,1.6626,66504,53496,28,458.1193548387097,19.865961000000002,"TitForTat,OmegaTFT"
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.2,0.0,0.001,0.95,0.4228,0.5772,0.5464474564387622,1.487875,59515,60485,24,702.141935483871,15.686802000000002,"TitForTat,OmegaTFT"
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.2,0.0,0.001,0.99,0.3947,0.6053,0.9687294245156163,1.48465,59386,60614,31,432.9725806451613,20.8186,"TitForTat,OmegaTFT"
10,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.2,0.0,0.005,0.95,0.386075,0.613925,0.7797890759921271,1.5773,63092,56908,28,478.9967741935484,20.314967000000006,"TitForTat,OmegaTFT"
11,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",8,8,0.2,0.0,0.005,0.99,0.58085,0.41915,1.4551057377553047,1.883525,75341,44659,25,653.7887096774193,18.360358,"TitForTat,OmegaTFT"
12,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=16, out_features=12, bias=True)
  (layer2): Linear(in_features=12, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=2, bias=True)
)",8,12,0.1,0.0,0.001,0.95,0.092575,0.907425,0.2846816104711134,1.098425,43937,76063,28,459.00967741935483,19.250321,"TitForTat,OmegaTFT"
