,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0,0.01,0.95,0.213482143,0.786517857,0.352480202,1.746453571,489007,350993,31,420.483871,20.518839,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0,0.01,0.99,0.499482143,0.500517857,1.583402122,2.016639286,564659,275341,26,515.833871,25.35928,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.1,0,0.01,0.95,0.112214286,0.887785714,0.599300838,1.688785714,472860,367140,31,421.5645161,29.512106,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.1,0,0.01,0.99,0.297867857,0.702132143,0.738575616,1.788446429,500765,339235,30,423.7677419,19.193778,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0,0.01,0.95,0.899396429,0.100603571,1.971105281,2.347067857,657179,182821,25,717.4370968,39.555557,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0,0.01,0.99,0.174553571,0.825446429,0.979741614,1.697946429,475425,364575,31,435.5516129,30.007924,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.05,0,0.01,0.95,0.974939286,0.025060714,2.144332859,2.566403571,718593,121407,24,705.6564516,23.483563,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.05,0,0.01,0.99,0.974985714,0.025014286,2.144664447,2.566757143,718692,121308,24,705.8322581,24.116778,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.1,0,0.01,0.95,0.447725,0.552275,0.699285169,1.946814286,545108,294892,26,475.2758065,47.681496,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.1,0,0.01,0.99,0.950175,0.049825,2.115191188,2.525689286,707193,132807,25,678.8806452,21.208085,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
10,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.2,0,0.01,0.95,0.899753571,0.100246429,1.970743142,2.345935714,656862,183138,24,692.1951613,20.42881,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
11,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",1,64,0.2,0,0.01,0.99,0.900410714,0.099589286,1.973939672,2.350703571,658197,181803,25,653.8112903,18.53342,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
12,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.05,0,0.01,0.95,0.169285714,0.830714286,0.398222064,1.697964286,475430,364570,29,439.6693548,71.751586,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
13,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.05,0,0.01,0.99,0.9746,0.0254,2.140387889,2.561167857,717127,122873,16,743.0274194,23.89823,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
14,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.1,0,0.01,0.95,0.949760714,0.050239286,2.1079482,2.516575,704641,135359,25,667.5,67.011211,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
15,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.1,0,0.01,0.99,0.950139286,0.049860714,2.106436335,2.5154,704312,135688,13,759.9435484,28.844155,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
16,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.2,0,0.01,0.95,0.900364286,0.099635714,1.975446304,2.352475,658693,181307,22,709.9919355,25.43461,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
17,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",1,128,0.2,0,0.01,0.99,0.901232143,0.098767857,1.980181174,2.357942857,660224,179776,24,668.2967742,56.765636,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
18,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.05,0,0.01,0.95,0.025660714,0.974339286,0.943935971,1.590317857,445289,394711,25,484.15,61.203365,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
19,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.05,0,0.01,0.99,0.972671429,0.027328571,2.141476234,2.563564286,717798,122202,25,717.3629032,55.008738,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
20,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.1,0,0.01,0.95,0.115939286,0.884060714,0.602357644,1.682667857,471147,368853,28,460.0451613,23.224755,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
21,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.1,0,0.01,0.99,0.461389286,0.538610714,0.76605543,1.974053571,552735,287265,25,695.5451613,20.834477,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
22,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.2,0,0.01,0.95,0.900914286,0.099085714,1.976835714,2.3542,659176,180824,21,754.9870968,21.112053,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
23,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.2,0,0.01,0.99,0.39625,0.60375,0.731435387,1.887542857,528512,311488,30,437.1112903,30.364164,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
24,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",2,64,0.05,0,0.01,0.95,0.975603571,0.024396429,2.144301853,2.566539286,718631,121369,22,714.1451613,24.561784,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
25,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",2,64,0.05,0,0.01,0.99,0.974560714,0.025439286,2.142790603,2.564382143,718027,121973,23,735.7064516,22.189994,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
26,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",2,64,0.1,0,0.01,0.95,0.949689286,0.050310714,2.107678335,2.516657143,704664,135336,17,754.9677419,25.960852,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
27,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",2,64,0.1,0,0.01,0.99,0.950289286,0.049710714,2.118770545,2.530232143,708465,131535,25,692.6790323,50.011996,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
28,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",2,64,0.2,0,0.01,0.95,0.899985714,0.100014286,1.969658998,2.346042857,656892,183108,23,711.3274194,48.640097,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
29,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=64, bias=True)
  (layer2): Linear(in_features=64, out_features=64, bias=True)
  (layer3): Linear(in_features=64, out_features=2, bias=True)
)",2,64,0.2,0,0.01,0.99,0.899392857,0.100607143,1.975219296,2.351757143,658492,181508,25,686.3306452,47.128314,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
30,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",2,128,0.05,0,0.01,0.95,0.974739286,0.025260714,2.140950876,2.562303571,717445,122555,25,668.7741935,26.650933,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
31,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=128, bias=True)
  (layer2): Linear(in_features=128, out_features=128, bias=True)
  (layer3): Linear(in_features=128, out_features=2, bias=True)
)",2,128,0.05,0,0.01,0.99,0.975389286,0.024610714,2.140750088,2.562075,717381,122619,25,670.8096774,18.204995,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
