,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,hidden_size,learning_rate,lookback,n1,n2,num_layers,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
0,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,2.0,4,,,609.1403225806451,18.849598,25.0,0.412525,57390.0,62610.0,0.587475,1.1162583996167814,1.56525
1,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,2.0,8,,,646.3032258064516,21.482930999999997,25.0,0.878275,11181.0,108819.0,0.121725,2.2479770406592543,2.720475
2,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,2.0,12,,,539.1612903225806,18.026233,25.0,0.4072,66691.0,53309.0,0.5928,0.4385299305906561,1.332725
3,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,2.0,16,,,546.2596774193548,31.19660900000001,25.0,0.453475,55424.0,64576.0,0.546525,1.16756489094433,1.6144
4,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,2.0,24,,,534.7274193548387,18.15660299999999,25.0,0.5683,52790.0,67210.0,0.4317,1.2563344790589903,1.68025
5,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,2.0,32,,,585.3838709677419,24.52204,25.0,0.401175,62152.0,57848.0,0.598825,0.4833877451040352,1.4462
6,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,2.0,64,,,667.3048387096774,19.757114,25.0,0.89865,9789.0,110211.0,0.10135,2.3205570165378973,2.755275
7,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,4.0,4,,,436.558064516129,20.009274,30.0,0.25395,67488.0,52512.0,0.74605,0.7157450821921809,1.3128
8,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,4.0,8,,,511.68064516129033,24.702119999999997,25.0,0.24745,68963.0,51037.0,0.75255,0.3443071304602478,1.275925
9,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,4.0,12,,,707.1838709677419,22.77897500000001,24.0,0.55065,59191.0,60809.0,0.44935,0.5311944832961734,1.520225
10,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,4.0,16,,,526.5693548387097,24.44475000000001,25.0,0.317575,65543.0,54457.0,0.682425,0.3866202964270792,1.361425
11,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,4.0,24,,,540.5693548387097,17.970004999999997,25.0,0.2321,64292.0,55708.0,0.7679,0.370252600768764,1.3927
12,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,4.0,32,,,718.6516129032258,21.168011,24.0,0.27065,64014.0,55986.0,0.72935,0.3933372425682451,1.39965
13,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,4.0,64,,,617.841935483871,18.990149,25.0,0.5827,39843.0,80157.0,0.4173,1.5499168519051385,2.003925
14,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,8.0,4,,,688.2032258064517,21.275528999999995,25.0,0.457525,59901.0,60099.0,0.542475,0.6682512066447925,1.502475
15,DQN,"TitForTat,OmegaTFT",,0.95,0.2,0.0,,0.001,8.0,8,,,592.3951612903226,27.606237000000004,25.0,0.381775,68701.0,51299.0,0.618225,0.5678351779614884,1.282475
