,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.001,0.99,0.5222333333333333,0.4777666666666667,1.2237000179727036,2.21215,265458,94542,20,798.5730769230769,15.895891000000002,"TitForTat,AllC,AllD"
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.001,0.95,0.9750416666666667,0.024958333333333332,1.683748094629993,2.017425,242091,117909,17,809.0,15.715888999999999,"TitForTat,AllC,AllD"
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.01,0.99,0.9748083333333334,0.025191666666666668,1.683770002567768,2.0172833333333333,242074,117926,21,776.723076923077,15.344244,"TitForTat,AllC,AllD"
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.01,0.95,0.36204166666666665,0.6379583333333333,0.8998238365832625,2.277325,273279,86721,24,766.4307692307692,15.492432999999997,"TitForTat,AllC,AllD"
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.1,0.0,0.001,0.99,0.9493416666666666,0.05065833333333333,1.6989778198650567,2.0326,243912,116088,15,822.0673076923077,16.589040999999998,"TitForTat,AllC,AllD"
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.1,0.0,0.001,0.95,0.6299833333333333,0.37001666666666666,1.1897119898598758,2.260175,271221,88779,24,731.5769230769231,15.664074999999997,"TitForTat,AllC,AllD"
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.1,0.0,0.01,0.99,0.9491083333333333,0.05089166666666667,1.6973808310706944,2.031633333333333,243796,116204,22,782.6673076923076,15.639221000000001,"TitForTat,AllC,AllD"
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.1,0.0,0.01,0.95,0.9498083333333334,0.05019166666666667,1.7000417114537754,2.034,244080,115920,24,721.3076923076923,14.102649999999997,"TitForTat,AllC,AllD"
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.2,0.0,0.001,0.99,0.67935,0.32065,1.6643856580154357,2.1044666666666667,252536,107464,24,655.2288461538461,14.845662000000003,"TitForTat,AllC,AllD"
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.2,0.0,0.001,0.95,0.692925,0.307075,0.9821731696466001,2.254958333333333,270595,89405,21,792.7326923076923,15.559121999999999,"TitForTat,AllC,AllD"
10,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.2,0.0,0.01,0.99,0.8934583333333334,0.10654166666666667,1.726720950226311,2.065025,247803,112197,24,741.401923076923,14.534974000000004,"TitForTat,AllC,AllD"
