,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0,0.05,0.1,0.99,0.868663056,0.131336944,,2.661220833,9580395,1219605,25,688.23,4.458742,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
1,,1,0.1,0,0.05,0.1,0.99,0.8680575,0.1319425,,2.656343056,9562835,1237165,25,707.4158065,4.784667,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
2,,1,0.1,0,0.05,0.1,0.99,0.870888333,0.129111667,,2.668782222,9607616,1192384,16,761.18,4.493994,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
3,,1,0.1,0,0.05,0.1,0.99,0.869861389,0.130138611,,2.669374444,9609748,1190252,24,701.7487097,3.97722,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
4,,1,0.1,0,0.05,0.1,0.99,0.8691125,0.1308875,,2.663382222,9588176,1211824,22,726.146129,4.205314,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
5,,1,0.1,0,0.05,0.1,0.99,0.871933056,0.128066944,,2.665613056,9596207,1203793,30,446.5177419,29.503069,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
6,,1,0.1,0,0.05,0.1,0.99,0.868103056,0.131896944,,2.659410833,9573879,1226121,25,698.3380645,3.746087,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
7,,1,0.1,0,0.05,0.1,0.99,0.873779722,0.126220278,,2.669085,9608706,1191294,25,705.9358065,3.872662,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
8,,1,0.1,0,0.05,0.1,0.99,0.868806111,0.131193889,,2.670098333,9612354,1187646,24,722.8522581,4.240192,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
9,,1,0.1,0,0.05,0.1,0.99,0.871108611,0.128891389,,2.666847778,9600652,1199348,25,688.346129,3.64383,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
10,,1,0.1,0,0.05,0.1,0.99,0.869813056,0.130186944,,2.663887222,9589994,1210006,25,698.8632258,3.752283,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
11,,1,0.1,0,0.05,0.1,0.99,0.872456944,0.127543056,,2.664680278,9592849,1207151,24,720.6335484,3.956431,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
12,,1,0.1,0,0.05,0.1,0.99,0.869605,0.130395,,2.665266111,9594958,1205042,25,697.8258065,3.833007,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
13,,1,0.1,0,0.05,0.1,0.99,0.868206944,0.131793056,,2.657666667,9567600,1232400,25,695.1580645,3.815057,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
14,,1,0.1,0,0.05,0.1,0.99,0.870171111,0.129828889,,2.662848889,9586256,1213744,25,696.2551613,3.809737,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
15,,1,0.1,0,0.05,0.1,0.99,0.867913889,0.132086111,,2.658606389,9570983,1229017,22,744.483871,4.091394,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
16,,1,0.1,0,0.05,0.1,0.99,0.871748333,0.128251667,,2.669743333,9611076,1188924,25,702.4906452,4.00346,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
17,,1,0.1,0,0.05,0.1,0.99,0.869373889,0.130626111,,2.664589167,9592521,1207479,24,723.8348387,3.867296,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
18,,1,0.1,0,0.05,0.1,0.99,0.870245278,0.129754722,,2.669490833,9610167,1189833,25,701.6019355,3.756582,"TitForTat,Shubik,Nydegger,Grofman,Pavlov,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen"
