,model,lookback,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.01,0.99,0.8246785714285715,0.17532142857142857,,2.549892857142857,713970,126030,20,743.9112903225806,1.6510229999999995,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
1,,1,0.1,0.0,0.01,0.95,0.8884571428571428,0.11154285714285714,,2.7234214285714287,762558,77442,25,704.3016129032258,1.7065229999999998,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
2,,1,0.1,0.0,0.01,0.9,0.8765392857142857,0.12346071428571428,,2.6775857142857142,749724,90276,24,718.15,1.3487590000000005,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
3,,1,0.1,0.0,0.1,0.99,0.8054821428571428,0.19451785714285713,,2.656825,743911,96089,28,444.23870967741937,4.656662,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
4,,1,0.1,0.0,0.1,0.95,0.7764357142857143,0.22356428571428572,,2.654771428571429,743336,96664,4,773.0790322580646,1.5266619999999997,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
5,,1,0.1,0.0,0.1,0.9,0.7542,0.2458,,2.589689285714286,725113,114887,25,478.2193548387097,5.40575,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
6,,1,0.2,0.0,0.01,0.99,0.8659857142857142,0.13401428571428572,,2.7092678571428572,758595,81405,25,696.2806451612903,1.687701,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
7,,1,0.2,0.0,0.01,0.95,0.8708607142857143,0.1291392857142857,,2.698775,755657,84343,25,671.7645161290322,2.2435680000000002,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
8,,1,0.2,0.0,0.01,0.9,0.8590392857142857,0.14096071428571427,,2.6694392857142857,747443,92557,25,682.658064516129,1.787823,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
9,,1,0.2,0.0,0.1,0.99,0.8032892857142857,0.1967107142857143,,2.655775,743617,96383,25,675.8193548387097,1.1382710000000003,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,GraaskampAndKatzen,Grofman"
