,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.001,0.95,0.8164236666666667,0.18357633333333334,,2.0703165,12421899.0,5578101.0,25,689.6241935483871,0.7639870000000001,"TitForTat,AllC,AllD"
1,,1,0.1,0.0,0.05,0.001,0.99,0.8200923333333333,0.17990766666666666,,2.0638951666666667,12383371.0,5616629.0,27,477.7935483870968,4.482505000000001,"TitForTat,AllC,AllD"
2,,1,0.1,0.0,0.05,0.01,0.95,0.8071021666666667,0.19289783333333332,,2.077211166666667,12463267.0,5536733.0,25,676.3112903225806,0.7750009999999997,"TitForTat,AllC,AllD"
3,,1,0.1,0.0,0.05,0.01,0.99,0.837499,0.162501,,2.0642198333333335,12385319.0,5614681.0,25,715.7741935483871,0.7632309999999999,"TitForTat,AllC,AllD"
4,,1,0.1,0.0,0.05,0.1,0.95,0.7740788333333334,0.22592116666666667,,2.093245,12559470.0,5440530.0,25,678.0403225806451,0.699942,"TitForTat,AllC,AllD"
5,,1,0.1,0.0,0.05,0.1,0.99,0.819002,0.180998,,2.0752193333333335,12451316.0,5548684.0,25,665.2838709677419,0.7839849999999999,"TitForTat,AllC,AllD"
6,,1,0.2,0.0,0.05,0.001,0.95,0.8931215,0.1068785,,2.0652996666666668,12391798.0,5608202.0,10,776.3225806451613,0.9360409999999998,"TitForTat,AllC,AllD"
7,,1,0.2,0.0,0.05,0.001,0.99,0.8920995,0.1079005,,2.066608,12399648.0,5600352.0,24,732.7822580645161,0.8359040000000001,"TitForTat,AllC,AllD"
8,,1,0.2,0.0,0.05,0.01,0.95,0.8025451666666666,0.19745483333333333,,2.0882431666666665,12529459.0,5470541.0,25,694.241935483871,0.7216860000000002,"TitForTat,AllC,AllD"
9,,1,0.2,0.0,0.05,0.01,0.99,0.8280223333333333,0.17197766666666667,,2.0799088333333335,12479453.0,5520547.0,25,699.9790322580645,0.8398109999999999,"TitForTat,AllC,AllD"
10,,1,0.2,0.0,0.05,0.1,0.95,0.7316886666666667,0.26831133333333335,,2.1481311666666665,12888787.0,5111213.0,23,716.2032258064517,0.8451810000000003,"TitForTat,AllC,AllD"
11,,1,0.2,0.0,0.05,0.1,0.99,0.7732818333333333,0.22671816666666667,,2.1278655,12767193.0,5232807.0,15,751.9387096774194,0.8599679999999997,"TitForTat,AllC,AllD"
12,,2,0.1,0.0,0.05,0.001,0.95,0.6045293333333334,0.3954706666666667,,2.277253,13663518.0,4336482.0,31,395.5387096774194,3.6438469999999996,"TitForTat,AllC,AllD"
13,,2,0.1,0.0,0.05,0.001,0.99,0.5423085,0.4576915,,2.323938666666667,13943632.0,4056368.0,29,434.491935483871,3.037581,"TitForTat,AllC,AllD"
14,,2,0.1,0.0,0.05,0.01,0.95,0.49710566666666667,0.5028943333333333,,2.4898785,14939271.0,3060729.0,30,429.6516129032258,3.4090380000000002,"TitForTat,AllC,AllD"
15,,2,0.1,0.0,0.05,0.01,0.99,0.4685455,0.5314545,,2.497661,14985966.0,3014034.0,30,432.60967741935485,2.877069999999999,"TitForTat,AllC,AllD"
16,,2,0.1,0.0,0.05,0.1,0.95,0.46761016666666666,0.5323898333333333,,2.5438835,15263301.0,2736699.0,21,708.1854838709677,0.8160409999999999,"TitForTat,AllC,AllD"
17,,2,0.1,0.0,0.05,0.1,0.99,0.4820785,0.5179215,,2.531594666666667,15189568.0,2810432.0,24,698.3645161290323,0.835586,"TitForTat,AllC,AllD"
18,,2,0.2,0.0,0.05,0.001,0.95,0.409088,0.590912,,2.4942436666666667,14965462.0,3034538.0,25,682.15,0.8010339999999998,"TitForTat,AllC,AllD"
19,,2,0.2,0.0,0.05,0.001,0.99,0.6395816666666667,0.36041833333333334,,2.2569575,13541745.0,4458255.0,28,470.4612903225806,3.8593409999999992,"TitForTat,AllC,AllD"
20,,2,0.2,0.0,0.05,0.01,0.95,0.45884766666666665,0.5411523333333333,,2.500946,15005676.0,2994324.0,24,709.2112903225807,0.7850539999999999,"TitForTat,AllC,AllD"
21,,2,0.2,0.0,0.05,0.01,0.99,0.4500383333333333,0.5499616666666667,,2.488849,14933094.0,3066906.0,26,453.44032258064516,3.6087259999999994,"TitForTat,AllC,AllD"
22,,2,0.2,0.0,0.05,0.1,0.95,0.4599865,0.5400135,,2.5452456666666667,15271474.0,2728526.0,28,459.8838709677419,3.008183999999999,"TitForTat,AllC,AllD"
23,,2,0.2,0.0,0.05,0.1,0.99,0.46855766666666665,0.5314423333333333,,2.537872833333333,15227237.0,2772763.0,29,449.2096774193548,2.995979,"TitForTat,AllC,AllD"
24,,4,0.1,0.0,0.05,0.001,0.95,0.6018241666666667,0.39817583333333334,,2.293922,13763532.0,4236468.0,30,440.76129032258063,5.286610000000002,"TitForTat,AllC,AllD"
25,,4,0.1,0.0,0.05,0.001,0.99,0.4447023333333333,0.5552976666666667,,2.155202666666667,12931216.0,5068784.0,31,412.458064516129,2.7090220000000005,"TitForTat,AllC,AllD"
26,,4,0.1,0.0,0.05,0.01,0.95,0.3689186666666667,0.6310813333333334,,2.7528875,16517325.0,1482675.0,27,464.3516129032258,3.5233540000000003,"TitForTat,AllC,AllD"
27,,4,0.1,0.0,0.05,0.01,0.99,0.4842788333333333,0.5157211666666667,,2.5616061666666665,15369637.0,2630363.0,23,692.0290322580645,0.8979699999999999,"TitForTat,AllC,AllD"
