,model,lookback,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.01,0.0,0.001,0.99,0.899575,0.100425,,3.043975,1217590.0,-17590.0,23,715.7241935483871,0.7619989999999999,"TitForTat,Nydegger,Grofman,Grudger"
1,,1,0.01,0.0,0.001,0.99,0.8992475,0.1007525,,3.04363,1217452.0,-17452.0,25,700.7483870967742,0.7250579999999996,"TitForTat,Nydegger,Grofman,Grudger"
2,,1,0.01,0.0,0.01,0.99,0.6056525,0.3943475,,3.2305125,1292205.0,-92205.0,23,704.325806451613,0.8263740000000002,"TitForTat,Nydegger,Grofman,Grudger"
3,,1,0.01,0.0,0.01,0.99,0.6069075,0.3930925,,3.2375425,1295017.0,-95017.0,27,451.041935483871,2.385309000000001,"TitForTat,Nydegger,Grofman,Grudger"
4,,2,0.01,0.0,0.001,0.99,0.8776525,0.1223475,,3.02137,1208548.0,-8548.0,13,767.3177419354839,0.9356090000000001,"TitForTat,Nydegger,Grofman,Grudger"
5,,2,0.01,0.0,0.001,0.99,0.8625375,0.1374625,,3.04461,1217844.0,-17844.0,21,717.8709677419355,0.7531050000000001,"TitForTat,Nydegger,Grofman,Grudger"
6,,2,0.01,0.0,0.01,0.99,0.33478,0.66522,,3.429015,1371606.0,-171606.0,30,423.45,2.895451,"TitForTat,Nydegger,Grofman,Grudger"
7,,2,0.01,0.0,0.01,0.99,0.6836125,0.3163875,,3.24248,1296992.0,-96992.0,18,745.8806451612903,0.7296060000000002,"TitForTat,Nydegger,Grofman,Grudger"
8,,1,0.01,0.0,0.001,0.99,0.830935,0.169065,,3.0302475,1212099.0,-12099.0,18,749.3951612903226,0.8329570000000003,"TitForTat,Nydegger,Grofman,Grudger"
9,,1,0.01,0.0,0.001,0.99,0.89952,0.10048,,3.04488,1217952.0,-17952.0,22,737.4483870967742,1.306177,"TitForTat,Nydegger,Grofman,Grudger"
10,,1,0.01,0.0,0.01,0.99,0.557275,0.442725,,3.275655,1310262.0,-110262.0,11,781.3548387096774,1.3334310000000003,"TitForTat,Nydegger,Grofman,Grudger"
11,,1,0.01,0.0,0.01,0.99,0.6104325,0.3895675,,3.22688,1290752.0,-90752.0,31,424.68387096774194,5.048755999999997,"TitForTat,Nydegger,Grofman,Grudger"
12,,2,0.01,0.0,0.001,0.99,0.8983475,0.1016525,,3.03837,1215348.0,-15348.0,12,763.2177419354839,1.3234,"TitForTat,Nydegger,Grofman,Grudger"
13,,2,0.01,0.0,0.001,0.99,0.44182,0.55818,,2.942185,1176874.0,23126.0,26,465.43064516129033,5.477405999999999,"TitForTat,Nydegger,Grofman,Grudger"
14,,2,0.01,0.0,0.01,0.99,0.662695,0.337305,,3.2262775,1290511.0,-90511.0,30,431.7048387096774,5.752015999999998,"TitForTat,Nydegger,Grofman,Grudger"
15,,2,0.01,0.0,0.01,0.99,0.3396075,0.6603925,,3.399925,1359970.0,-159970.0,26,487.65,5.522012,"TitForTat,Nydegger,Grofman,Grudger"
16,,1,0.01,0.0,0.001,0.99,0.41368,0.58632,,2.840475,1704285.0,95715.0,31,435.06935483870967,8.948483,"TitForTat,Nydegger,Grofman,Grudger"
17,,1,0.01,0.0,0.001,0.99,0.6309383333333334,0.3690616666666667,,2.7249866666666667,1634992.0,165008.0,25,703.5177419354839,2.0685200000000004,"TitForTat,Nydegger,Grofman,Grudger"
18,,1,0.01,0.0,0.01,0.99,0.8127616666666667,0.18723833333333334,,2.829515,1697709.0,102291.0,24,716.5209677419355,1.200003,"TitForTat,Nydegger,Grofman,Grudger"
19,,1,0.01,0.0,0.01,0.99,0.89936,0.10064,,2.920113333333333,1752068.0,47932.0,23,724.5177419354839,1.2326510000000002,"TitForTat,Nydegger,Grofman,Grudger"
20,,2,0.01,0.0,0.001,0.99,0.36681833333333336,0.6331816666666666,,2.025045,1215027.0,584973.0,25,672.0145161290322,1.270663,"TitForTat,Nydegger,Grofman,Grudger"
21,,2,0.01,0.0,0.001,0.99,0.7719616666666667,0.22803833333333334,,2.7500116666666665,1650007.0,149993.0,16,750.45,0.8018150000000004,"TitForTat,Nydegger,Grofman,Grudger"
