,model,lookback,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.01,0.0,0.1,0.99,0.6963375,0.3036625,,2.4783868181818183,10904902.0,2295098.0,27,456.6667741935484,58.41312299999999,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
1,,1,0.01,0.0,0.1,0.99,0.6991754545454546,0.30082454545454546,,2.480059318181818,10912261.0,2287739.0,25,690.4,5.906631,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
2,,1,0.01,0.0,0.1,0.99,0.6964106818181818,0.30358931818181817,,2.4772665909090907,10899973.0,2300027.0,25,676.3674193548387,7.442832999999999,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
3,,1,0.01,0.0,0.1,0.99,0.6951925,0.3048075,,2.4791713636363637,10908354.0,2291646.0,25,692.5596774193548,10.825197000000003,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
4,,1,0.01,0.0,0.1,0.99,0.6954011363636363,0.3045988636363636,,2.4729681818181817,10881060.0,2318940.0,24,702.8938709677419,4.860347999999999,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
5,,1,0.01,0.0,0.1,0.99,0.6983009090909091,0.3016990909090909,,2.482500909090909,10923004.0,2276996.0,27,459.5838709677419,39.297089,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
6,,1,0.01,0.0,0.1,0.99,0.6996122727272728,0.3003877272727273,,2.473290909090909,10882480.0,2317520.0,25,699.73,7.826056999999999,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
7,,1,0.01,0.0,0.1,0.99,0.6920977272727272,0.3079022727272727,,2.4723686363636364,10878422.0,2321578.0,25,719.3783870967742,5.568478,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
8,,1,0.01,0.0,0.1,0.99,0.6979831818181819,0.3020168181818182,,2.4732277272727274,10882202.0,2317798.0,24,711.3832258064516,5.555929000000001,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
9,,1,0.01,0.0,0.1,0.99,0.6977665909090909,0.30223340909090907,,2.4768075,10897953.0,2302047.0,24,705.7029032258065,5.484037,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
10,,1,0.01,0.0,0.1,0.99,0.7012020454545455,0.29879795454545455,,2.479382727272727,10909284.0,2290716.0,27,458.8051612903226,44.24694999999999,"Leyvraz,RandomAgent,Pavlov,SecondByHarrington,SecondByWhiteK72R,SecondByBlackK83R,SecondByTidemanAndChieruzzi,SecondByWeiner,Champion,SecondByGraaskampKatzen,Borufsen"
