,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0.0,0.001,0.95,0.73825,0.26175,0.11230541337343333,2.51145,100458,19542,15,796.2269230769231,16.651471000000004,TitForTat
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0.0,0.01,0.95,0.024675,0.975325,0.4576993686975577,1.092675,43707,76293,25,491.6730769230769,18.910428999999997,TitForTat
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.1,0.0,0.001,0.95,0.94975,0.05025,2.471375,2.94755,117902,2098,22,772.7057692307692,15.698527,TitForTat
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.1,0.0,0.01,0.95,0.35945,0.64055,1.5725466643028894,2.0725,82900,37100,24,706.8692307692307,17.821340000000003,TitForTat
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0.0,0.001,0.95,0.900225,0.099775,2.437013688963652,2.892175,115687,4313,8,829.8038461538462,16.526804000000002,TitForTat
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0.0,0.01,0.95,0.9015,0.0985,2.437868591839075,2.893675,115747,4253,19,804.0769230769231,16.069029,TitForTat
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.001,0.95,0.975,0.025,2.486875,2.97475,118990,1010,24,764.7942307692308,15.533457000000002,TitForTat
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.01,0.95,0.8695,0.1305,0.16879927145497686,2.785075,111403,8597,24,766.3019230769231,16.292431,TitForTat
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.1,0.0,0.001,0.95,0.783075,0.216925,0.20267362794230204,2.6884,107536,12464,24,702.1769230769231,14.333669999999994,TitForTat
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.1,0.0,0.01,0.95,0.811125,0.188875,0.2633638413181729,2.698725,107949,12051,20,792.7057692307692,16.675405,TitForTat
