,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0.0,0.001,0.95,0.79657,0.20343,0.06391723848229527,2.59791,519582,80418,19,742.6290322580645,15.125753999999997,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0.0,0.01,0.95,0.3943,0.6057,0.22802990184826202,1.766765,353353,246647,26,469.4935483870968,18.597032000000002,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0.0,0.001,0.95,0.891135,0.108865,2.317623527765274,2.75002,550004,49996,25,653.9580645161291,13.250504000000003,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0.0,0.01,0.95,0.90052,0.09948,2.3698325,2.813915,562783,37217,22,722.3177419354839,14.96055,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.001,0.95,0.388065,0.611935,0.10854239147802604,1.65219,330438,269562,21,713.5387096774193,14.688139999999997,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.01,0.95,0.97528,0.02472,2.4733126372087,2.958615,591723,8277,24,712.05,15.378428,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.2,0.0,0.001,0.95,0.89979,0.10021,2.338418138130802,2.81962,563924,36076,17,747.1822580645161,15.000179000000001,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.2,0.0,0.01,0.95,0.304815,0.695185,0.37179723299842443,1.40088,280176,319824,31,433.26935483870966,17.409187000000003,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",1,16,0.05,0.0,0.001,0.95,0.025565,0.974435,0.4374423322856075,1.065575,213115,386885,26,491.13709677419354,17.952975999999996,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",1,16,0.05,0.0,0.01,0.95,0.321585,0.678415,0.19515846115681462,1.64621,329242,270758,26,502.6193548387097,18.313026999999998,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
10,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",1,16,0.2,0.0,0.001,0.95,0.89932,0.10068,2.346169058040275,2.828925,565785,34215,23,713.1290322580645,14.702396,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
11,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=16, bias=True)
  (layer2): Linear(in_features=16, out_features=16, bias=True)
  (layer3): Linear(in_features=16, out_features=2, bias=True)
)",1,16,0.2,0.0,0.01,0.95,0.901075,0.098925,2.375248382101059,2.82063,564126,35874,24,719.5870967741936,15.572529999999999,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
12,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.001,0.95,0.94744,0.05256,0.07286524976291679,2.8876,577520,22480,25,658.1290322580645,13.750794999999997,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
13,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=32, bias=True)
  (layer2): Linear(in_features=32, out_features=32, bias=True)
  (layer3): Linear(in_features=32, out_features=2, bias=True)
)",1,32,0.05,0.0,0.01,0.95,0.9745,0.0255,2.47197171498972,2.95685,591370,8630,23,709.5354838709677,14.749030000000001,"TTFT,SteinAndRapoport,OmegaTFT,SecondByWeiner,Borufsen"
