,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0.0,0.001,0.95,0.8678666666666667,0.13213333333333332,0.805199561691121,2.049275,245913,114087,25,678.5661290322581,13.778101999999997,"TitForTat,AllC,AllD"
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.05,0.0,0.01,0.95,0.3487,0.6513,0.8717429668242426,2.229675,267561,92439,25,585.2693548387097,16.166891999999994,"TitForTat,AllC,AllD"
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.1,0.0,0.001,0.95,0.37083333333333335,0.6291666666666667,1.116809275255236,2.243875,269265,90735,25,580.1112903225807,13.955868999999996,"TitForTat,AllC,AllD"
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.1,0.0,0.01,0.95,0.05250833333333333,0.9474916666666666,1.8415741429828767,2.3410333333333333,280924,79076,29,440.05806451612904,16.806870999999994,"TitForTat,AllC,AllD"
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0.0,0.001,0.95,0.899975,0.100025,1.7248728693262956,2.06685,248022,111978,23,711.7741935483871,13.306417000000005,"TitForTat,AllC,AllD"
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",1,4,0.2,0.0,0.01,0.95,0.8997166666666667,0.10028333333333334,1.728630986015002,2.063616666666667,247634,112366,23,716.2241935483871,13.454444,"TitForTat,AllC,AllD"
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.001,0.95,0.9752333333333333,0.024766666666666666,1.1442174464845425,2.0168833333333334,242026,117974,24,714.1306451612903,13.745209,"TitForTat,AllC,AllD"
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.01,0.95,0.024991666666666666,0.9750083333333334,1.6525339302838111,2.3386666666666667,280640,79360,30,438.6306451612903,15.245217999999998,"TitForTat,AllC,AllD"
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.1,0.0,0.001,0.95,0.7784333333333333,0.22156666666666666,0.9051722095466809,2.1052666666666666,252632,107368,25,688.358064516129,13.223651000000002,"TitForTat,AllC,AllD"
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.1,0.0,0.01,0.95,0.11150833333333333,0.8884916666666667,1.7483750156501123,2.3245,278940,81060,30,421.06451612903226,15.037775,"TitForTat,AllC,AllD"
