,Unnamed: 0,model,lookback,n1,n2,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,4,0.1,0.0,0.01,0.95,0.230985,0.769015,0.457289177264305,2.22055,444110,155890,25,490.6209677419355,18.786141,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
1,1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,4,0.1,0.0,0.001,0.95,0.08412,0.91588,1.73253633341812,2.231215,446243,153757,28,459.5709677419355,18.190002,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
2,2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,4,0.2,0.0,0.01,0.95,0.27789,0.72211,0.4892383437174508,2.17905,435810,164190,26,486.8870967741936,19.166638,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
3,3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,4,0.2,0.0,0.001,0.95,0.899975,0.100025,2.2585325,2.683545,536709,63291,19,738.0419354838709,16.396872000000002,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
4,4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,8,0.1,0.0,0.01,0.95,0.04908,0.95092,1.789223558596535,2.289955,457991,142009,31,426.3870967741936,17.265871,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
5,5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,8,0.1,0.0,0.001,0.95,0.0581,0.9419,1.7782115149367752,2.277565,455513,144487,27,443.5790322580645,18.073761000000008,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
6,6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,8,0.2,0.0,0.01,0.95,0.36482,0.63518,0.4330767171082743,2.264165,452833,147167,25,496.7483870967742,20.70182299999999,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
7,7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,8,0.2,0.0,0.001,0.95,0.47424,0.52576,1.6339179590259525,2.1071,421420,178580,25,503.3838709677419,15.626617000000008,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
8,8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,12,0.1,0.0,0.01,0.95,0.949585,0.050415,2.38427047375374,2.844515,568903,31097,25,659.9677419354839,15.183088,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
9,9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=8, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=12, bias=True)
  (layer3): Linear(in_features=12, out_features=4, bias=True)
  (layer4): Linear(in_features=4, out_features=2, bias=True)
)",4,4,12,0.1,0.0,0.001,0.95,0.7146,0.2854,0.4030234520873641,2.645895,529179,70821,21,717.983870967742,16.182567,"TitForTat,TidemanAndChieruzzi,Nydegger,Grofman,Shubik"
