Unnamed: 0,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.05,0.0,0.001,0.95,250,0.02918,0.97082,0.4474706276293292,1.551936,387984.0,362016.0,27,454.52,137.308318,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.05,0.0,0.001,0.99,250,0.975088,0.024912,2.06377432774045,2.470296,617574.0,132426.0,24,734.1783870967741,88.74687500000003,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.05,0.0,0.01,0.95,250,0.129072,0.870928,0.3720777243174341,1.6072,401800.0,348200.0,29,441.74612903225807,113.259626,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.05,0.0,0.01,0.99,250,0.972848,0.027152,2.07010710106879,2.478592,619648.0,130352.0,23,743.6274193548387,86.77864699999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.05,0.0,0.1,0.95,250,0.420008,0.579992,0.7067278483352069,1.927196,481799.0,268201.0,29,456.4483870967742,122.479284,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.05,0.0,0.1,0.99,250,0.969248,0.030752,2.054993642294355,2.461644,615411.0,134589.0,23,730.0674193548388,87.24159399999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.1,0.0,0.001,0.95,250,0.07658,0.92342,0.502055095400614,1.576672,394168.0,355832.0,28,449.6677419354839,120.006625,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.1,0.0,0.001,0.99,250,0.95012,0.04988,1.9915965012034167,2.387176,596794.0,153206.0,24,744.2516129032258,91.092839,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.1,0.0,0.01,0.95,250,0.949424,0.050576,2.0016076967312797,2.391016,597754.0,152246.0,21,743.3845161290322,88.787214,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.1,0.0,0.01,0.99,250,0.950208,0.049792,1.999911836886136,2.389376,597344.0,152656.0,23,735.2970967741935,88.795926,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
10,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.1,0.0,0.1,0.95,250,0.163424,0.836576,0.54179395624906,1.590812,397703.0,352297.0,31,434.6651612903226,113.484612,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
11,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.1,0.0,0.1,0.99,250,0.950536,0.049464,2.003046728603363,2.393204,598301.0,151699.0,23,728.2838709677419,102.58512999999998,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
12,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=4, out_features=4, bias=True)
  (layer2): Linear(in_features=4, out_features=4, bias=True)
  (layer3): Linear(in_features=4, out_features=2, bias=True)
)",2,4,0.2,0.0,0.001,0.95,250,0.177336,0.822664,0.6605834737164268,1.63314,408285.0,341715.0,24,728.8025806451612,88.03683199999999,"SteinAndRapoport,TidemanAndChieruzzi,TitForTat,Grofman,Davis"
