,model,lookback,n1,epsilon,epsilon_decay,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.001,0.95,250,0.23892666666666668,0.7610733333333334,0.7930715097437189,2.0887066666666665,939918.0,410082.0,29,440.1425806451613,132.77954099999997,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
1,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.001,0.99,250,0.9201977777777778,0.07980222222222222,2.4040166971744332,2.8879866666666665,1299594.0,50406.0,24,720.6261290322581,144.978613,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
2,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.01,0.95,250,0.11399333333333334,0.8860066666666667,0.7792132974029777,1.9759222222222221,889165.0,460835.0,29,446.1983870967742,191.20408000000003,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
3,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.01,0.99,250,0.9751488888888888,0.024851111111111112,2.4692430126767024,2.95384,1329228.0,20772.0,23,721.5029032258064,121.510483,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
4,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.05,0.95,250,0.39876,0.60124,0.8193657007800645,2.270677777777778,1021805.0,328195.0,28,441.68774193548387,128.927477,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
5,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.05,0.99,250,0.9749533333333333,0.025046666666666665,2.470275574240103,2.954902222222222,1329706.0,20294.0,23,719.8054838709677,119.637765,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
6,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.1,0.95,250,0.43718444444444443,0.5628155555555555,0.8408882863311801,2.30556,1037502.0,312498.0,29,450.46258064516127,131.434228,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
7,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.05,0.0,0.1,0.99,250,0.9749066666666667,0.025093333333333332,2.4714601666211036,2.956157777777778,1330271.0,19729.0,23,740.2151612903226,122.27587000000003,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
8,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.1,0.0,0.001,0.95,250,0.7453133333333334,0.2546866666666667,1.811644380784159,2.21756,997902.0,352098.0,19,761.4516129032259,127.73107300000001,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
9,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.1,0.0,0.001,0.99,250,0.6171644444444444,0.38283555555555554,1.8372440642468206,2.4432022222222223,1099441.0,250559.0,28,445.87548387096774,143.284249,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
10,"QNetwork(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer1): Linear(in_features=2, out_features=8, bias=True)
  (layer2): Linear(in_features=8, out_features=8, bias=True)
  (layer3): Linear(in_features=8, out_features=2, bias=True)
)",1,8,0.1,0.0,0.01,0.95,250,0.08184888888888889,0.9181511111111111,0.7923093925263033,1.9386644444444445,872399.0,477601.0,31,437.0016129032258,134.20697199999998,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Champion,Leyvraz"
