,model,lookback,hidden_size,num_layers,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.05,0.0,0.01,0.95,0.896025,0.103975,0.6050516119862608,2.8173125,225385,14615,25,668.2177419354839,28.66057,"TitForTat,OmegaTFT"
1,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.05,0.0,0.01,0.99,0.4126125,0.5873875,2.7760576307488796,1.3761625,110093,129907,28,455.35,29.91035299999999,"TitForTat,OmegaTFT"
2,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.05,0.0,0.001,0.95,0.756225,0.243775,4.380139785643929,1.3714,109712,130288,24,664.3854838709677,30.695268,"TitForTat,OmegaTFT"
3,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.05,0.0,0.001,0.99,0.19145,0.80855,2.3494081725825877,1.3087625,104701,135299,27,484.0016129032258,32.08139399999999,"TitForTat,OmegaTFT"
4,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.1,0.0,0.01,0.95,0.7830125,0.2169875,0.8701573210254171,2.5772625,206181,33819,25,636.4064516129032,27.294828999999996,"TitForTat,OmegaTFT"
5,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.1,0.0,0.01,0.99,0.5112,0.4888,3.176581955064499,1.412925,113034,126966,26,520.1903225806452,27.928577999999998,"TitForTat,OmegaTFT"
6,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.1,0.0,0.001,0.95,0.6136375,0.3863625,3.4396441327328806,2.241025,179282,60718,25,576.5629032258065,28.569113,"TitForTat,OmegaTFT"
7,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.1,0.0,0.001,0.99,0.311525,0.688475,2.6231066854932754,1.305375,104430,135570,25,633.9709677419355,29.116294999999994,"TitForTat,OmegaTFT"
8,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.2,0.0,0.01,0.95,0.5046625,0.4953375,1.679500995131989,1.556,124480,115520,25,625.4258064516129,28.928886,"TitForTat,OmegaTFT"
9,"RNN(
  (_flatten): Flatten(start_dim=1, end_dim=-1)
  (_rnn): RNN(2, 1, batch_first=True)
  (_fc): Linear(in_features=1, out_features=2, bias=True)
)",1,1,1,0.2,0.0,0.01,0.99,0.5138,0.4862,3.283484749973861,1.4404,115232,124768,26,557.2951612903225,26.32283,"TitForTat,OmegaTFT"
