,ModelType,agents,discount_rate,epsilon,epsilon_decay,hidden_size,learning_rate,lookback,n1,n2,num_layers,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
0,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,4,0.01,1,,,1,615.8016129,27.08011,25,0.326578571,360387,479613,0.673421429,3.58614905,1.712903571
1,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,32,0.01,1,,,1,492.6741935,32.30246,26,0.266553571,379237,460763,0.733446429,2.267996993,1.645582143
2,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,64,0.01,1,,,1,488.3693548,31.665495,26,0.384578571,350600,489400,0.615421429,2.660372602,1.747857143
3,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,4,0.01,2,,,1,516.1112903,30.256132,25,0.258746429,332749,507251,0.741253571,3.584488499,1.811610714
4,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,32,0.01,2,,,1,482.9790323,36.665985,26,0.40995,336942,503058,0.59005,2.484999131,1.796635714
5,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,64,0.01,2,,,1,481.4516129,50.417262,26,0.464157143,328145,511855,0.535842857,2.698817541,1.828053571
6,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,4,0.01,4,,,1,488.1048387,28.928496,26,0.272125,317234,522766,0.727875,3.777123904,1.867021429
7,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,32,0.01,4,,,1,638.6903226,48.650724,25,0.477532143,303910,536090,0.522467857,2.739439784,1.914607143
8,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,64,0.01,4,,,1,599.4709677,30.954584,25,0.453542857,307730,532270,0.546457143,2.705464295,1.900964286
9,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,4,0.01,6,,,1,507.35,32.616342,25,0.294764286,301066,538934,0.705235714,3.922495072,1.924764286
10,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,32,0.01,6,,,1,570.4467742,30.440797,25,0.442267857,288424,551576,0.557732143,2.768404372,1.969914286
11,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,64,0.01,6,,,1,469.0741935,32.818346,25,0.487003571,286857,553143,0.512996429,2.859109883,1.975510714
12,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,4,0.01,8,,,1,649.8806452,32.598158,25,0.310592857,281368,558632,0.689407143,4.299953757,1.995114286
13,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,32,0.01,8,,,1,532.7725806,46.645109,26,0.391942857,295282,544718,0.608057143,2.833786297,1.945421429
14,RNN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,64,0.01,8,,,1,568.2080645,27.201835,25,0.465007143,288826,551174,0.534992857,2.981012504,1.968478571
15,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,1,4,,,497.3306451612903,23.095371,27,0.3307333333333333,215641,504359,0.6692666666666667,0.7014675368125223,2.1014958333333333
16,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,1,4,,,602.3370967741936,17.590207,25,0.7132375,160423,559577,0.2867625,1.8814982803271756,2.331570833333333
17,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,1,64,,,717.8161290322581,19.771187,24,0.8997625,63619,656381,0.1002375,2.302512925100701,2.734920833333333
18,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,1,64,,,689.7903225806451,31.21940899999999,25,0.9002625,62750,657250,0.0997375,2.3056759124831685,2.738541666666667
19,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,1,128,,,699.6548387096774,21.017128,25,0.8996958333333334,63320,656680,0.1003041666666666,2.303568225927902,2.736166666666666
20,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,1,128,,,720.6354838709677,18.925093,24,0.9005125,67344,652656,0.0994875,2.288996419082085,2.7194
21,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,4,4,,,739.7645161290322,17.182401000000002,21,0.9010333333333334,63513,656487,0.0989666666666666,2.3026021023621164,2.7353625
22,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,4,4,,,707.4,17.701421,25,0.8993333333333333,65196,654804,0.1006666666666666,2.296622651514017,2.72835
23,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,4,64,,,731.9048387096774,18.319630000000007,22,0.8998125,65613,654387,0.1001875,2.2953986757099627,2.7266125
24,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,4,64,,,689.741935483871,17.253513,25,0.8999875,66616,653384,0.1000125,2.291878651534828,2.722433333333333
25,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,4,128,,,649.3629032258065,16.744818,25,0.9000125,64769,655231,0.0999875,2.298356778103113,2.7301291666666665
26,DQN,"TitForTat,Nydegger,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,4,128,,,700.8483870967742,34.50275500000001,24,0.899975,63351,656649,0.100025,2.303378079666073,2.7360375
27,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,1,4,,,420.483871,20.518839,31,0.213482143,350993,489007,0.786517857,0.352480202,1.746453571
28,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,1,4,,,515.833871,25.35928,26,0.499482143,275341,564659,0.500517857,1.583402122,2.016639286
29,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,1,4,,,421.5645161,29.512106,31,0.112214286,367140,472860,0.887785714,0.599300838,1.688785714
30,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,1,4,,,423.7677419,19.193778,30,0.297867857,339235,500765,0.702132143,0.738575616,1.788446429
31,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,1,4,,,717.4370968,39.555557,25,0.899396429,182821,657179,0.100603571,1.971105281,2.347067857
32,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,1,4,,,435.5516129,30.007924,31,0.174553571,364575,475425,0.825446429,0.979741614,1.697946429
33,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,1,64,,,705.6564516,23.483563,24,0.974939286,121407,718593,0.025060714,2.144332859,2.566403571
34,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,1,64,,,705.8322581,24.116778,24,0.974985714,121308,718692,0.025014286,2.144664447,2.566757143
35,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,1,64,,,475.2758065,47.681496,26,0.447725,294892,545108,0.552275,0.699285169,1.946814286
36,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,1,64,,,678.8806452,21.208085,25,0.950175,132807,707193,0.049825,2.115191188,2.525689286
37,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,1,64,,,692.1951613,20.42881,24,0.899753571,183138,656862,0.100246429,1.970743142,2.345935714
38,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,1,64,,,653.8112903,18.53342,25,0.900410714,181803,658197,0.099589286,1.973939672,2.350703571
39,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,1,128,,,439.6693548,71.751586,29,0.169285714,364570,475430,0.830714286,0.398222064,1.697964286
40,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,1,128,,,743.0274194,23.89823,16,0.9746,122873,717127,0.0254,2.140387889,2.561167857
41,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,1,128,,,667.5,67.011211,25,0.949760714,135359,704641,0.050239286,2.1079482,2.516575
42,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,1,128,,,759.9435484,28.844155,13,0.950139286,135688,704312,0.049860714,2.106436335,2.5154
43,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,1,128,,,709.9919355,25.43461,22,0.900364286,181307,658693,0.099635714,1.975446304,2.352475
44,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,1,128,,,668.2967742,56.765636,24,0.901232143,179776,660224,0.098767857,1.980181174,2.357942857
45,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,2,4,,,484.15,61.203365,25,0.025660714,394711,445289,0.974339286,0.943935971,1.590317857
46,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,2,4,,,717.3629032,55.008738,25,0.972671429,122202,717798,0.027328571,2.141476234,2.563564286
47,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,2,4,,,460.0451613,23.224755,28,0.115939286,368853,471147,0.884060714,0.602357644,1.682667857
48,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,2,4,,,695.5451613,20.834477,25,0.461389286,287265,552735,0.538610714,0.76605543,1.974053571
49,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,2,4,,,754.9870968,21.112053,21,0.900914286,180824,659176,0.099085714,1.976835714,2.3542
50,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,2,4,,,437.1112903,30.364164,30,0.39625,311488,528512,0.60375,0.731435387,1.887542857
51,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,2,64,,,714.1451613,24.561784,22,0.975603571,121369,718631,0.024396429,2.144301853,2.566539286
52,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,2,64,,,735.7064516,22.189994,23,0.974560714,121973,718027,0.025439286,2.142790603,2.564382143
53,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,2,64,,,754.9677419,25.960852,17,0.949689286,135336,704664,0.050310714,2.107678335,2.516657143
54,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,2,64,,,692.6790323,50.011996,25,0.950289286,131535,708465,0.049710714,2.118770545,2.530232143
55,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.2,0.0,,0.01,2,64,,,711.3274194,48.640097,23,0.899985714,183108,656892,0.100014286,1.969658998,2.346042857
56,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.2,0.0,,0.01,2,64,,,686.3306452,47.128314,25,0.899392857,181508,658492,0.100607143,1.975219296,2.351757143
57,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.05,0.0,,0.01,2,128,,,668.7741935,26.650933,25,0.974739286,122555,717445,0.025260714,2.140950876,2.562303571
58,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.05,0.0,,0.01,2,128,,,670.8096774,18.204995,25,0.975389286,122619,717381,0.024610714,2.140750088,2.562075
59,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.95,0.1,0.0,,0.01,2,128,,,709.6709677,31.246303,23,0.937492857,135071,704929,0.062507143,2.080022832,2.517603571
60,DQN,"TitForTat,Nydegger,Downing,TidemanAndChieruzzi,Champion,Borufsen,SecondByGraaskampKatzen",0.99,0.1,0.0,,0.01,2,128,,,717.0064516,32.003955,24,0.950253571,133548,706452,0.049746429,2.112900514,2.523042857
