,ModelType,agents,decay_limit,discount_rate,epsilon,epsilon_decay,learning_rate,lookback,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
0,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.001,2.0,756.2370967741936,0.8589940000000001,16.0,0.46921525,8159328.0,15840672.0,0.53078475,,1.980084
1,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.1,0.0,0.001,2.0,752.666129032258,0.9560000000000004,20.0,0.73166425,5630945.0,18369055.0,0.26833575,,2.296131875
2,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.01,2.0,406.8483870967742,2.8330300000000004,31.0,0.438752125,7177027.0,16822973.0,0.561247875,,2.102871625
3,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.1,0.0,0.01,2.0,425.98225806451615,3.7988580000000014,30.0,0.504459,7366894.0,16633106.0,0.495541,,2.07913825
4,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.2,0.0,0.001,2.0,756.6838709677419,0.901068,15.0,0.528194,7970939.0,16029061.0,0.471806,,2.003632625
5,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.2,0.0,0.001,2.0,469.15645161290325,4.006988000000001,28.0,0.580356625,8189250.0,15810750.0,0.419643375,,1.97634375
6,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.2,0.0,0.01,2.0,705.7451612903226,0.7660029999999999,25.0,0.478122125,7688109.0,16311891.0,0.521877875,,2.038986375
7,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.2,0.0,0.01,2.0,441.6935483870968,3.003997,30.0,0.472370375,7755613.0,16244387.0,0.527629625,,2.030548375
8,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.001,4.0,418.3870967741936,3.4795399999999987,31.0,0.444995625,5851424.0,18148576.0,0.555004375,,2.268572
9,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.99,0.1,0.0,0.001,4.0,672.0629032258065,0.930975,25.0,0.707453375,5255607.0,18744393.0,0.292546625,,2.343049125
10,TABULAR,"TitForTat,OmegaTFT,AllC,AllD",0.05,0.95,0.1,0.0,0.01,4.0,454.23870967741937,3.811952999999999,31.0,0.43133475,3327457.0,20672543.0,0.56866525,,2.584067875
