,agents,decay_limit,discount_rate,epsilon,epsilon_decay,learning_rate,lookback,tn_mean_score,tn_mean_time,tn_rank,tr_cooperation_percentage,tr_cumul_regret,tr_cumul_reward,tr_defection_percentage,tr_final_loss,tr_mean_reward
0,"TitForTat,Downing",,0.99,0.01,0.0,0.001,1.0,399.3338709677419,2.821025,31.0,0.6426,77419.0,522581.0,0.3574,,2.612905
1,"TitForTat,Downing",,0.99,0.01,0.0,0.001,1.0,439.6354838709677,2.673221,31.0,0.166975,313231.0,286769.0,0.833025,,1.433845
2,"TitForTat,Downing",,0.99,0.01,0.0,0.01,1.0,676.0451612903225,0.8030820000000002,25.0,0.88255,26401.0,573599.0,0.11745,,2.867995
3,"TitForTat,Downing",,0.99,0.01,0.0,0.01,1.0,688.1532258064516,0.733928,25.0,0.87078,33946.0,566054.0,0.12922,,2.83027
4,"TitForTat,Downing",,0.99,0.01,0.0,0.001,2.0,666.2564516129032,0.7379689999999999,25.0,0.64333,119702.0,480298.0,0.35667,,2.40149
5,"TitForTat,Downing",,0.99,0.01,0.0,0.001,2.0,678.4274193548387,0.7759590000000003,24.0,0.83198,49987.0,550013.0,0.16802,,2.750065
6,"TitForTat,Downing",,0.99,0.01,0.0,0.01,2.0,757.1193548387097,0.7901589999999997,13.0,0.88974,26089.0,573911.0,0.11026,,2.869555
7,"TitForTat,Downing",,0.99,0.01,0.0,0.01,2.0,689.9403225806452,0.7915290000000001,25.0,0.864995,29299.0,570701.0,0.135005,,2.853505
8,"TitForTat,Downing",,0.99,0.01,0.0,0.001,1.0,441.60967741935485,2.816952,29.0,0.099945,338515.0,261485.0,0.900055,,1.307425
9,"TitForTat,Downing",,0.99,0.01,0.0,0.001,1.0,467.0258064516129,5.269575999999999,28.0,0.16556,313948.0,286052.0,0.83444,,1.43026
10,"TitForTat,Downing",,0.99,0.01,0.0,0.01,1.0,716.1274193548387,1.2841710000000002,22.0,0.90007,21603.0,578397.0,0.09993,,2.891985
11,"TitForTat,Downing",,0.99,0.01,0.0,0.01,1.0,708.2645161290322,1.1878389999999996,23.0,0.86378,37095.0,562905.0,0.13622,,2.814525
12,"TitForTat,Downing",,0.99,0.01,0.0,0.001,2.0,470.6725806451613,5.480957999999999,28.0,0.11986,331006.0,268994.0,0.88014,,1.34497
13,"TitForTat,Downing",,0.99,0.01,0.0,0.001,2.0,711.4596774193549,1.656394,22.0,0.694375,107211.0,492789.0,0.305625,,2.463945
14,"TitForTat,Downing",,0.99,0.01,0.0,0.01,2.0,674.575806451613,1.2049969999999997,25.0,0.891435,25118.0,574882.0,0.108565,,2.87441
15,"TitForTat,Downing",,0.99,0.01,0.0,0.01,2.0,701.1483870967742,1.2683099999999998,25.0,0.90127,21376.0,578624.0,0.09873,,2.89312
16,"TitForTat,Downing",,0.99,0.01,0.0,0.001,1.0,458.7596774193548,6.021664,28.0,0.1122725,749832.0,450168.0,0.8877275,,1.12542
17,"TitForTat,Downing",,0.99,0.01,0.0,0.001,1.0,441.9758064516129,2.804346,30.0,0.10958,760886.0,439114.0,0.89042,,1.097785
18,"TitForTat,Downing",,0.99,0.01,0.0,0.01,1.0,683.2274193548387,0.7640050000000002,25.0,0.8721075,612330.0,587670.0,0.1278925,,1.469175
19,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,715.7241935483871,0.7619989999999999,23.0,0.899575,-17590.0,1217590.0,0.100425,,3.043975
20,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,700.7483870967742,0.7250579999999996,25.0,0.8992475,-17452.0,1217452.0,0.1007525,,3.04363
21,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,704.325806451613,0.8263740000000002,23.0,0.6056525,-92205.0,1292205.0,0.3943475,,3.2305125
22,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,451.041935483871,2.385309000000001,27.0,0.6069075,-95017.0,1295017.0,0.3930925,,3.2375425
23,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,767.3177419354839,0.935609,13.0,0.8776525,-8548.0,1208548.0,0.1223475,,3.02137
24,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,717.8709677419355,0.7531050000000001,21.0,0.8625375,-17844.0,1217844.0,0.1374625,,3.04461
25,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,423.45,2.895451,30.0,0.33478,-171606.0,1371606.0,0.66522,,3.429015
26,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,745.8806451612903,0.7296060000000002,18.0,0.6836125,-96992.0,1296992.0,0.3163875,,3.24248
27,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,749.3951612903226,0.8329570000000003,18.0,0.830935,-12099.0,1212099.0,0.169065,,3.0302475
28,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,737.4483870967742,1.306177,22.0,0.89952,-17952.0,1217952.0,0.10048,,3.04488
29,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,781.3548387096774,1.3334310000000005,11.0,0.557275,-110262.0,1310262.0,0.442725,,3.275655
30,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,424.68387096774194,5.048755999999997,31.0,0.6104325,-90752.0,1290752.0,0.3895675,,3.22688
31,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,763.2177419354839,1.3234,12.0,0.8983475,-15348.0,1215348.0,0.1016525,,3.03837
32,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,465.43064516129033,5.477405999999999,26.0,0.44182,23126.0,1176874.0,0.55818,,2.942185
33,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,431.7048387096774,5.752015999999998,30.0,0.662695,-90511.0,1290511.0,0.337305,,3.2262775
34,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,487.65,5.522012,26.0,0.3396075,-159970.0,1359970.0,0.6603925,,3.399925
35,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,435.06935483870967,8.948483,31.0,0.41368,95715.0,1704285.0,0.58632,,2.840475
36,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,703.5177419354839,2.0685200000000004,25.0,0.6309383333333334,165008.0,1634992.0,0.3690616666666667,,2.7249866666666667
37,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,716.5209677419355,1.200003,24.0,0.8127616666666667,102291.0,1697709.0,0.1872383333333333,,2.829515
38,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,1.0,724.5177419354839,1.2326510000000002,23.0,0.89936,47932.0,1752068.0,0.10064,,2.920113333333333
39,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,672.0145161290322,1.270663,25.0,0.3668183333333333,584973.0,1215027.0,0.6331816666666666,,2.025045
40,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,2.0,750.45,0.8018150000000004,16.0,0.7719616666666667,149993.0,1650007.0,0.2280383333333333,,2.7500116666666665
41,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,699.5048387096774,0.907825,24.0,0.87502,96797.0,1703203.0,0.12498,,2.8386716666666665
42,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.01,2.0,742.0532258064516,0.7980880000000004,20.0,0.8812783333333334,52168.0,1747832.0,0.1187216666666666,,2.913053333333333
43,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,718.1241935483871,0.803012,24.0,0.90051,-17375.0,1217375.0,0.09949,,3.0434375
44,"TitForTat,Nydegger,Grofman,Grudger",,0.99,0.01,0.0,0.001,1.0,511.9016129032258,3.694063,25.0,0.7077525,39035.0,1160965.0,0.2922475,,2.9024125
