,id,tn_score,tn_time,p_cc,p_cd,p_dc,p_dd
0,AllC,504.8027027027027,0.011048617117117115,,,,
1,AllD,753.4009009009009,0.029689153153153132,,,,
2,TitForTat,694.4603603603604,0.013076693693693688,,,,
3,RandomAgent,576.1657657657657,0.02522088738738738,,,,
4,Davis,783.0819819819819,0.01610828828828828,,,,
5,Shubik,815.1387387387388,0.015293292792792788,,,,
6,SteinAndRapoport,742.9225225225225,0.06631869369369368,,,,
7,Grudger,827.3153153153153,0.01452226576576576,,,,
8,Nydegger,515.4036036036036,0.022689396396396385,,,,
9,Grofman,653.8774774774774,0.015653369369369362,,,,
10,Downing,750.6873873873874,0.03695057207207206,,,,
11,Feld,705.4918918918919,0.031207234234234237,,,,
12,Joss,616.0234234234234,0.022360522522522526,,,,
13,Pavlov,657.2405405405406,0.013302022522522513,,,,
14,OmegaTFT,824.0837837837838,0.017918734234234228,,,,
15,TFTT,603.9846846846847,0.014662301801801794,,,,
16,TTFT,720.263963963964,0.015428085585585578,,,,
17,GradualTFT,831.0108108108108,0.17607645045045048,,,,
18,GenerousTFT,625.2216216216216,0.01414873423423423,,,,
19,TidemanAndChieruzzi,755.7126126126126,0.020540657657657647,,,,
20,Champion,701.1396396396397,0.2656024234234235,,,,
21,Borufsen,755.4126126126126,0.016977373873873852,,,,
22,Leyvraz,676.4288288288288,0.2382084144144144,,,,
23,Harrington,764.0792792792793,0.029671382882882867,,,,
24,White,664.8954954954955,0.023824536036036032,,,,
25,Black,594.7351351351351,0.022212162162162166,,,,
26,TidemanAndChieruzzi2,796.7666666666667,0.023067626126126114,,,,
27,GraaskampAndKatzen,867.9549549549549,0.014813558558558558,,,,
28,Weiner,731.9342342342343,0.053714599099099085,,,,
29,Tullock,750.8990990990991,0.02843707657657659,,,,
30,Stoc0,693.0612612612613,0.02708989639639638,0.25,0.25,0.25,0.25
31,Stoc1,654.4468468468468,0.022025085585585576,0.25,0.25,0.25,0.5
32,Stoc2,652.3828828828829,0.025597247747747746,0.25,0.25,0.25,0.75
33,Stoc3,662.8576576576577,0.025254702702702667,0.25,0.25,0.5,0.25
34,Stoc4,630.3918918918919,0.023164608108108102,0.25,0.25,0.5,0.5
35,Stoc5,628.5378378378379,0.02368297747747747,0.25,0.25,0.5,0.75
36,Stoc6,634.3792792792793,0.024834049549549545,0.25,0.25,0.75,0.25
37,Stoc7,635.0657657657657,0.027087009009008976,0.25,0.25,0.75,0.5
38,Stoc8,573.5315315315315,0.02186230180180178,0.25,0.25,0.75,0.75
39,Stoc9,695.7603603603603,0.027513382882882877,0.25,0.5,0.25,0.25
40,Stoc10,654.6828828828828,0.023137581081081066,0.25,0.5,0.25,0.5
41,Stoc11,631.1450450450451,0.023118824324324307,0.25,0.5,0.25,0.75
42,Stoc12,657.2243243243244,0.02182379729729728,0.25,0.5,0.5,0.25
43,Stoc13,633.8333333333334,0.02251377477477477,0.25,0.5,0.5,0.5
44,Stoc14,625.109009009009,0.024238702702702692,0.25,0.5,0.5,0.75
45,Stoc15,647.8216216216216,0.025580999999999986,0.25,0.5,0.75,0.25
46,Stoc16,602.8981981981982,0.02320759009009009,0.25,0.5,0.75,0.5
47,Stoc17,586.9981981981982,0.021243292792792783,0.25,0.5,0.75,0.75
48,Stoc18,656.6504504504504,0.023057171171171165,0.25,0.75,0.25,0.25
49,Stoc19,623.0774774774775,0.02525985585585585,0.25,0.75,0.25,0.5
