,model,lookback,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.01,0.99,0.87662,0.12338,,2.706225,541245,58755,23,699.3661290322581,1.3417660000000005,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
1,,1,0.1,0.0,0.01,0.95,0.879145,0.120855,,2.71238,542476,57524,24,686.1225806451613,0.858403,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
2,,1,0.1,0.0,0.01,0.9,0.8173,0.1827,,2.66753,533506,66494,24,699.9725806451613,0.8460639999999998,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
3,,1,0.1,0.0,0.1,0.99,0.7618,0.2382,,2.654035,530807,69193,19,736.4451612903226,1.109282,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
4,,1,0.1,0.0,0.1,0.95,0.745085,0.254915,,2.634165,526833,73167,30,445.89516129032256,8.608006999999995,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
5,,1,0.1,0.0,0.1,0.9,0.699815,0.300185,,2.62366,524732,75268,30,434.3725806451613,4.139414,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
6,,1,0.2,0.0,0.01,0.99,0.781095,0.218905,,2.545205,509041,90959,24,703.8451612903226,1.3338310000000002,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
7,,1,0.2,0.0,0.01,0.95,0.8234,0.1766,,2.63542,527084,72916,24,723.3548387096774,0.8000510000000003,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
8,,1,0.2,0.0,0.01,0.9,0.87771,0.12229,,2.70232,540464,59536,25,689.6387096774193,0.7904410000000001,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
9,,1,0.2,0.0,0.1,0.99,0.769485,0.230515,,2.653965,530793,69207,24,694.0322580645161,0.7130020000000002,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
10,,1,0.2,0.0,0.1,0.95,0.740145,0.259855,,2.643255,528651,71349,18,752.6903225806452,1.265501,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
11,,1,0.2,0.0,0.1,0.9,0.7077,0.2923,,2.62115,524230,75770,31,416.55806451612904,3.4891729999999987,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
12,,1,0.3,0.0,0.01,0.99,0.73696,0.26304,,2.623095,524619,75381,25,674.6096774193549,0.9123399999999999,"TitForTat,Nydegger,Champion,Borufsen,SecondByGraaskampKatzen"
