,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.05,0.0,0.05,0.001,0.95,2500,0.7236715,0.2763285,,2.486357,9945428.0,2054572.0,6,778.3548387096774,2.787378999999999,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
1,,1,0.05,0.0,0.05,0.001,0.99,2500,0.29508425,0.70491575,,2.00095725,8003829.0,3996171.0,30,443.61709677419356,15.936305999999997,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
2,,1,0.05,0.0,0.05,0.01,0.95,2500,0.32630175,0.67369825,,2.17332425,8693297.0,3306703.0,30,433.4274193548387,17.966959999999993,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
3,,1,0.05,0.0,0.05,0.01,0.99,2500,0.61985425,0.38014575,,2.4529525,9811810.0,2188190.0,25,496.2090322580645,10.629476000000006,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
4,,1,0.05,0.0,0.05,0.05,0.95,2500,0.28110025,0.71889975,,2.14727275,8589091.0,3410909.0,30,443.72387096774196,11.822366999999998,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
5,,1,0.05,0.0,0.05,0.05,0.99,2500,0.453922,0.546078,,2.25842425,9033697.0,2966303.0,19,736.4816129032258,2.8638400000000006,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
6,,1,0.05,0.0,0.05,0.1,0.95,2500,0.292473,0.707527,,2.15385675,8615427.0,3384573.0,27,471.7977419354839,9.690367999999998,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
7,,1,0.05,0.0,0.05,0.1,0.99,2500,0.4123755,0.5876245,,2.2243825,8897530.0,3102470.0,28,443.29870967741937,15.126722000000003,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
8,,1,0.1,0.0,0.05,0.001,0.95,2500,0.0708705,0.9291295,,2.07606625,8304265.0,3695735.0,31,435.2654838709677,16.818046999999993,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
9,,1,0.1,0.0,0.05,0.001,0.99,2500,0.52970525,0.47029475,,2.35555275,9422211.0,2577789.0,15,767.6258064516129,2.8694690000000005,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
10,,1,0.1,0.0,0.05,0.01,0.95,2500,0.13587775,0.86412225,,2.06678425,8267137.0,3732863.0,27,449.09548387096777,17.351392999999995,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
11,,1,0.1,0.0,0.05,0.01,0.99,2500,0.18017575,0.81982425,,2.0752025,8300810.0,3699190.0,31,440.1035483870968,19.899409999999996,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
