,model,lookback,epsilon,epsilon_decay,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.01,0.0,0.001,0.99,0.6426,0.3574,,2.612905,522581.0,77419.0,31,399.3338709677419,2.8210249999999997,"TitForTat,Downing"
1,,1,0.01,0.0,0.001,0.99,0.166975,0.833025,,1.433845,286769.0,313231.0,31,439.63548387096773,2.673221,"TitForTat,Downing"
2,,1,0.01,0.0,0.01,0.99,0.88255,0.11745,,2.867995,573599.0,26401.0,25,676.0451612903225,0.8030820000000002,"TitForTat,Downing"
3,,1,0.01,0.0,0.01,0.99,0.87078,0.12922,,2.83027,566054.0,33946.0,25,688.1532258064516,0.733928,"TitForTat,Downing"
4,,2,0.01,0.0,0.001,0.99,0.64333,0.35667,,2.40149,480298.0,119702.0,25,666.2564516129032,0.7379689999999999,"TitForTat,Downing"
5,,2,0.01,0.0,0.001,0.99,0.83198,0.16802,,2.750065,550013.0,49987.0,24,678.4274193548387,0.7759590000000003,"TitForTat,Downing"
6,,2,0.01,0.0,0.01,0.99,0.88974,0.11026,,2.869555,573911.0,26089.0,13,757.1193548387097,0.7901589999999997,"TitForTat,Downing"
7,,2,0.01,0.0,0.01,0.99,0.864995,0.135005,,2.853505,570701.0,29299.0,25,689.9403225806452,0.7915290000000001,"TitForTat,Downing"
8,,1,0.01,0.0,0.001,0.99,0.099945,0.900055,,1.307425,261485.0,338515.0,29,441.60967741935485,2.816952,"TitForTat,Downing"
9,,1,0.01,0.0,0.001,0.99,0.16556,0.83444,,1.43026,286052.0,313948.0,28,467.0258064516129,5.269575999999999,"TitForTat,Downing"
10,,1,0.01,0.0,0.01,0.99,0.90007,0.09993,,2.891985,578397.0,21603.0,22,716.1274193548387,1.2841710000000002,"TitForTat,Downing"
11,,1,0.01,0.0,0.01,0.99,0.86378,0.13622,,2.814525,562905.0,37095.0,23,708.2645161290322,1.1878389999999996,"TitForTat,Downing"
12,,2,0.01,0.0,0.001,0.99,0.11986,0.88014,,1.34497,268994.0,331006.0,28,470.6725806451613,5.480957999999999,"TitForTat,Downing"
13,,2,0.01,0.0,0.001,0.99,0.694375,0.305625,,2.463945,492789.0,107211.0,22,711.4596774193549,1.6563940000000001,"TitForTat,Downing"
14,,2,0.01,0.0,0.01,0.99,0.891435,0.108565,,2.87441,574882.0,25118.0,25,674.575806451613,1.2049969999999997,"TitForTat,Downing"
15,,2,0.01,0.0,0.01,0.99,0.90127,0.09873,,2.89312,578624.0,21376.0,25,701.1483870967742,1.2683099999999998,"TitForTat,Downing"
16,,1,0.01,0.0,0.001,0.99,0.1122725,0.8877275,,1.12542,450168.0,749832.0,28,458.75967741935483,6.0216639999999995,"TitForTat,Downing"
17,,1,0.01,0.0,0.001,0.99,0.10958,0.89042,,1.097785,439114.0,760886.0,30,441.9758064516129,2.8043459999999993,"TitForTat,Downing"
18,,1,0.01,0.0,0.01,0.99,0.8721075,0.1278925,,1.469175,587670.0,612330.0,25,683.2274193548387,0.7640050000000002,"TitForTat,Downing"
