,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
0,,1,0.1,0.0,0.05,0.001,0.95,0.901953,0.098047,,2.8506975,5701395.0,298605.0,25,663.1870967741935,0.738659,TitForTat
1,,1,0.1,0.0,0.05,0.001,0.99,0.9492765,0.0507235,,2.9467545,5893509.0,106491.0,25,722.2629032258064,0.7680429999999997,TitForTat
2,,1,0.1,0.0,0.05,0.01,0.95,0.95004,0.04996,,2.948322,5896644.0,103356.0,25,666.4935483870968,0.7494850000000001,TitForTat
3,,1,0.1,0.0,0.05,0.01,0.99,0.9501185,0.0498815,,2.948306,5896612.0,103388.0,25,685.0629032258065,0.7690710000000002,TitForTat
4,,1,0.1,0.0,0.05,0.1,0.95,0.949991,0.050009,,2.9482955,5896591.0,103409.0,23,733.2516129032258,0.7523389999999996,TitForTat
5,,1,0.1,0.0,0.05,0.1,0.99,0.950052,0.049948,,2.9482395,5896479.0,103521.0,23,702.7709677419355,0.809092,TitForTat
6,,1,0.2,0.0,0.05,0.001,0.95,0.789062,0.210938,,2.715974,5431948.0,568052.0,18,737.3274193548388,0.825324,TitForTat
7,,1,0.2,0.0,0.05,0.001,0.99,0.900006,0.099994,,2.8915795,5783159.0,216841.0,22,723.1145161290323,0.7570439999999997,TitForTat
8,,1,0.2,0.0,0.05,0.01,0.95,0.898537,0.101463,,2.888324,5776648.0,223352.0,25,702.7241935483871,0.7878999999999999,TitForTat
9,,1,0.2,0.0,0.05,0.01,0.99,0.896908,0.103092,,2.885286,5770572.0,229428.0,16,729.2129032258065,0.7560410000000001,TitForTat
10,,1,0.2,0.0,0.05,0.1,0.95,0.8998635,0.1001365,,2.8914735,5782947.0,217053.0,24,701.6193548387097,0.7659750000000002,TitForTat
11,,1,0.2,0.0,0.05,0.1,0.99,0.899822,0.100178,,2.891426,5782852.0,217148.0,24,686.158064516129,0.765222,TitForTat
12,,2,0.1,0.0,0.05,0.001,0.95,0.911292,0.088708,,2.8698665,5739733.0,260267.0,24,715.6338709677419,0.748232,TitForTat
13,,2,0.1,0.0,0.05,0.001,0.99,0.877052,0.122948,,2.800086,5600172.0,399828.0,25,683.5145161290322,0.7179650000000003,TitForTat
14,,2,0.1,0.0,0.05,0.01,0.95,0.9479305,0.0520695,,2.94616,5892320.0,107680.0,23,731.3661290322581,0.7641939999999998,TitForTat
15,,2,0.1,0.0,0.05,0.01,0.99,0.949749,0.050251,,2.9479985,5895997.0,104003.0,24,665.3290322580646,0.742801,TitForTat
16,,2,0.1,0.0,0.05,0.1,0.95,0.949942,0.050058,,2.9480685,5896137.0,103863.0,17,754.1677419354838,0.8550119999999999,TitForTat
17,,2,0.1,0.0,0.05,0.1,0.99,0.948451,0.051549,,2.945213,5890426.0,109574.0,25,677.924193548387,0.6968320000000001,TitForTat
18,,2,0.2,0.0,0.05,0.001,0.95,0.7143595,0.2856405,,2.576878,5153756.0,846244.0,25,694.3564516129032,0.7290170000000001,TitForTat
19,,2,0.2,0.0,0.05,0.001,0.99,0.7808185,0.2191815,,2.6506555,5301311.0,698689.0,18,747.0419354838709,0.8329619999999999,TitForTat
20,,2,0.2,0.0,0.05,0.01,0.95,0.892755,0.107245,,2.877368,5754736.0,245264.0,20,719.1064516129032,0.852973,TitForTat
21,,2,0.2,0.0,0.05,0.01,0.99,0.8772485,0.1227515,,2.8461705,5692341.0,307659.0,25,669.7112903225807,0.7640910000000003,TitForTat
22,,2,0.2,0.0,0.05,0.1,0.95,0.8995435,0.1004565,,2.890729,5781458.0,218542.0,21,733.2322580645161,1.1420560000000002,TitForTat
23,,2,0.2,0.0,0.05,0.1,0.99,0.899186,0.100814,,2.889874,5779748.0,220252.0,24,691.1096774193549,0.7188150000000002,TitForTat
24,,4,0.1,0.0,0.05,0.001,0.95,0.6892275,0.3107725,,2.43399,4867980.0,1132020.0,31,432.27258064516127,3.002964,TitForTat
25,,4,0.1,0.0,0.05,0.001,0.99,0.614987,0.385013,,2.3057675,4611535.0,1388465.0,23,748.2854838709677,0.758913,TitForTat
26,,4,0.1,0.0,0.05,0.01,0.95,0.936944,0.063056,,2.9218645,5843729.0,156271.0,25,698.6306451612903,0.7790410000000001,TitForTat
27,,4,0.1,0.0,0.05,0.01,0.99,0.9307545,0.0692455,,2.909147,5818294.0,181706.0,25,645.6758064516129,0.7242969999999997,TitForTat
28,,4,0.1,0.0,0.05,0.1,0.95,0.948028,0.051972,,2.944234,5888468.0,111532.0,25,678.7483870967742,0.676034,TitForTat
29,,4,0.1,0.0,0.05,0.1,0.99,0.946894,0.053106,,2.941749,5883498.0,116502.0,24,684.408064516129,0.8070620000000002,TitForTat
30,,4,0.2,0.0,0.05,0.001,0.95,0.7021615,0.2978385,,2.490039,4980078.0,1019922.0,24,673.6177419354839,0.7092010000000003,TitForTat
31,,4,0.2,0.0,0.05,0.001,0.99,0.4358415,0.5641585,,2.0170785,4034157.0,1965843.0,31,434.69193548387096,3.3152579999999996,TitForTat
32,,4,0.2,0.0,0.05,0.01,0.95,0.86577,0.13423,,2.8315065,5663013.0,336987.0,25,680.3967741935484,0.7260340000000003,TitForTat
33,,4,0.2,0.0,0.05,0.01,0.99,0.889742,0.110258,,2.87338,5746760.0,253240.0,21,731.416129032258,0.8499479999999999,TitForTat
34,,4,0.2,0.0,0.05,0.1,0.95,0.8973695,0.1026305,,2.886681,5773362.0,226638.0,23,738.1032258064516,0.8808240000000002,TitForTat
35,,4,0.2,0.0,0.05,0.1,0.99,0.8902505,0.1097495,,2.8738535,5747707.0,252293.0,18,745.0822580645162,0.7893129999999997,TitForTat
36,,8,0.1,0.0,0.05,0.001,0.95,0.632955,0.367045,,2.36848,4736960.0,1263040.0,24,693.4612903225807,0.799088,TitForTat
